Date,Equity
2016-03-04,154734.32625754198
2016-03-11,155248.01807797907
2016-03-18,157194.24925171334
2016-03-25,159512.56961784326
2016-04-01,159441.24848520797
2016-04-08,156178.2410589682
2016-04-15,162281.53739534717
2016-04-22,163291.33804541317
2016-04-29,162268.09276632508
2016-05-06,159862.95764477534
2016-05-13,161546.65518422655
2016-05-20,160198.87149902142
2016-05-27,168611.18193429432
2016-06-03,169937.26445403582
2016-06-10,168888.17964769804
2016-06-17,168891.28846582025
2016-06-24,167204.48210824683
2016-07-01,172160.4933411738
2016-07-08,172054.04660118345
2016-07-15,176564.59851531708
2016-07-22,176560.46015353096
2016-07-29,178571.80491722142
2016-08-05,179494.80090543293
2016-08-12,177613.68332165483
2016-08-19,179158.88705118682
2016-08-26,177208.50742210113
2016-09-02,182109.76106310246
2016-09-09,183289.0730493526
2016-09-16,181493.73058376508
2016-09-23,182562.45746823875
2016-09-30,178006.44413585018
2016-10-07,179793.48969073486
2016-10-14,177432.80663090688
2016-10-21,179699.4378489721
2016-10-28,178561.46910632146
2016-11-04,174339.2903537206
2016-11-11,171497.97189991755
2016-11-18,166904.74359215022
2016-11-25,167735.73673236134
2016-12-02,167167.26713286794
2016-12-09,170783.771404162
2016-12-16,168255.63609547756
2016-12-23,165078.4037874284
2016-12-30,169213.75769104413
2017-01-06,170412.71175543015
2017-01-13,173648.85011075638
2017-01-20,172594.59739896862
2017-01-27,178628.65187717066
2017-02-03,180689.6166080328
2017-02-10,181776.9358398479
2017-02-17,182358.85006836336
2017-02-24,184793.96307894887
2017-03-03,183926.78450702285
2017-03-10,184691.63451361397
2017-03-17,189353.0852294597
2017-03-24,188277.13135220835
2017-03-31,189636.2904855425
2017-04-07,190143.77476330046
2017-04-14,189161.8727278119
2017-04-21,188512.79591557782
2017-04-28,192329.79876862498
2017-05-05,191942.2058598795
2017-05-12,194331.8574522101
2017-05-19,194889.99124080362
2017-05-26,198346.27025601882
2017-06-02,199553.50104397707
2017-06-09,199858.40746552352
2017-06-16,198200.5393597567
2017-06-23,197929.7491890321
2017-06-30,196812.45206818124
2017-07-07,199807.75795468796
2017-07-14,204366.88010519877
2017-07-21,204964.29805006407
2017-07-28,207015.95651369015
2017-08-04,208088.8217599499
2017-08-11,200737.98093567707
2017-08-18,203355.020367805
2017-08-25,203761.20562389187
2017-09-01,206187.03255437198
2017-09-08,205368.42421882314
2017-09-15,208481.5825741453
2017-09-22,205980.31633637438
2017-09-29,202346.22907427218
2017-10-06,206296.58811248458
2017-10-13,210177.68510538942
2017-10-20,209745.64013492217
2017-10-27,213394.1813825797
2017-11-03,216070.12686198467
2017-11-10,213367.31231166612
2017-11-17,212578.68186515302
2017-11-24,214771.9530503859
2017-12-01,209234.0174953781
2017-12-08,212207.64240355184
2017-12-15,213605.03596236336
2017-12-22,216907.32754487492
2017-12-29,217686.65172415198
2018-01-05,218268.5457655368
2018-01-12,220798.7603486796
