Date,Asset,Return
2013-07-12,NIFTY 50,0.024046098264200344
2013-07-19,NIFTY 50,0.0033616567336496317
2013-07-26,NIFTY 50,-0.023717905421547947
2013-08-02,NIFTY 50,-0.035387904939867765
2013-08-09,NIFTY 50,-0.019769633479037707
2013-08-16,NIFTY 50,-0.010385095308125591
2013-08-23,NIFTY 50,-0.006554299230404181
2013-08-30,NIFTY 50,9.10214967797529e-06
2013-09-06,NIFTY 50,0.03812275761213879
2013-09-13,NIFTY 50,0.029962713583294498
2013-09-20,NIFTY 50,0.027604005965934375
2013-09-27,NIFTY 50,-0.029756640680931423
2013-10-04,NIFTY 50,0.012703080109361942
2013-10-11,NIFTY 50,0.03197745109789518
2013-10-18,NIFTY 50,0.01527999398959623
2013-10-25,NIFTY 50,-0.007181722573640137
2013-11-01,NIFTY 50,0.02641219475468537
2013-11-08,NIFTY 50,-0.02639050452785774
2013-11-15,NIFTY 50,-0.01377683469547697
2013-11-22,NIFTY 50,-0.01002282110087116
2013-11-29,NIFTY 50,0.030131165543663352
2013-12-06,NIFTY 50,0.01356840131514403
2013-12-13,NIFTY 50,-0.014616847142514544
2013-12-20,NIFTY 50,0.017160057605219547
2013-12-27,NIFTY 50,0.006303511126827921
2014-01-03,NIFTY 50,-0.016258022984438125
2014-01-10,NIFTY 50,-0.006391683932192582
2014-01-17,NIFTY 50,0.014615642057641542
2014-01-24,NIFTY 50,0.0008144974145458672
2014-01-31,NIFTY 50,-0.028284198348426215
2014-02-07,NIFTY 50,-0.004318877524837839
2014-02-14,NIFTY 50,-0.0024492177691461947
2014-02-21,NIFTY 50,0.01770732446485712
2014-02-28,NIFTY 50,0.01973860499960267
2014-03-07,NIFTY 50,0.03978041871635707
2014-03-14,NIFTY 50,-0.003439698370091504
2014-03-21,NIFTY 50,-0.0016912148565056961
2014-03-28,NIFTY 50,0.031217227396989955
2014-04-04,NIFTY 50,-0.00023145577295102804
2014-04-11,NIFTY 50,0.012241622537778829
2014-04-18,NIFTY 50,0.0004574912187482738
2014-04-25,NIFTY 50,0.0004941584365147911
2014-05-02,NIFTY 50,-0.012966745835022664
2014-05-09,NIFTY 50,0.024496624960341995
2014-05-16,NIFTY 50,0.05018373550971167
2014-05-23,NIFTY 50,0.022782187651846364
2014-05-30,NIFTY 50,-0.018616538465030863
2014-06-06,NIFTY 50,0.04888687992075069
2014-06-13,NIFTY 50,-0.0054460802831637345
2014-06-20,NIFTY 50,-0.004063841893755082
2014-06-27,NIFTY 50,-0.0003528467281396219
2014-07-04,NIFTY 50,0.03233543299651931
2014-07-11,NIFTY 50,-0.03766964192183864
2014-07-18,NIFTY 50,0.027387500940122766
2014-07-25,NIFTY 50,0.016512519028340833
2014-08-01,NIFTY 50,-0.024112868055979453
2014-08-08,NIFTY 50,-0.004478769438267194
2014-08-15,NIFTY 50,0.029483903308239245
2014-08-22,NIFTY 50,0.015593515786592294
2014-08-29,NIFTY 50,0.005200159395452486
2014-09-05,NIFTY 50,0.016657551952489635
2014-09-12,NIFTY 50,0.0023062010694565593
2014-09-19,NIFTY 50,0.0019678237385107877
2014-09-26,NIFTY 50,-0.01878975970871888
2014-10-03,NIFTY 50,-0.002923921605151425
2014-10-10,NIFTY 50,-0.010773277051828511
2014-10-17,NIFTY 50,-0.010209988359450306
2014-10-24,NIFTY 50,0.027790236333466556
2014-10-31,NIFTY 50,0.04080845145061218
2014-11-07,NIFTY 50,0.00177835239962576
2014-11-14,NIFTY 50,0.00634525496281646
2014-11-21,NIFTY 50,0.010423153396161622
2014-11-28,NIFTY 50,0.013081964969612336
2014-12-05,NIFTY 50,-0.005816108673187159
2014-12-12,NIFTY 50,-0.03679891811013769
2014-12-19,NIFTY 50,0.0001338244901905039
2014-12-26,NIFTY 50,-0.0029786509043223663
2015-01-02,NIFTY 50,0.023747972168439713
2015-01-09,NIFTY 50,-0.013215514681326757
2015-01-16,NIFTY 50,0.027678170642464917
2015-01-23,NIFTY 50,0.037797436170665444
2015-01-30,NIFTY 50,-0.003021777800079395
2015-02-06,NIFTY 50,-0.016784227245304373
2015-02-13,NIFTY 50,0.016678139321439023
2015-02-20,NIFTY 50,0.003191142964624305
2015-02-27,NIFTY 50,0.0012452454816183067
2015-03-06,NIFTY 50,0.010531894572849199
2015-03-13,NIFTY 50,-0.032446644849095096
2015-03-20,NIFTY 50,-0.008886659463444246
2015-03-27,NIFTY 50,-0.026776650006460345
2015-04-03,NIFTY 50,0.029353537524728912
2015-04-10,NIFTY 50,0.022605865118648927
2015-04-17,NIFTY 50,-0.01985679581469546
2015-04-24,NIFTY 50,-0.034946548919358555
2015-05-01,NIFTY 50,-0.014900213720237199
2015-05-08,NIFTY 50,0.0012222697549348904
2015-05-15,NIFTY 50,0.00864916185985476
2015-05-22,NIFTY 50,0.023794755152266145
2015-05-29,NIFTY 50,-0.00299089178956502
2015-06-05,NIFTY 50,-0.03781875943862345
2015-06-12,NIFTY 50,-0.016242164195404918
2015-06-19,NIFTY 50,0.030321098338923713
2015-06-26,NIFTY 50,0.01898484615159024
2015-07-03,NIFTY 50,0.012385102920610791
2015-07-10,NIFTY 50,-0.014655515116582363
2015-07-17,NIFTY 50,0.029818589747258706
2015-07-24,NIFTY 50,-0.010255673292057677
2015-07-31,NIFTY 50,0.001326026948910597
2015-08-07,NIFTY 50,0.003720914050227231
2015-08-14,NIFTY 50,-0.005376760944795667
2015-08-21,NIFTY 50,-0.02566159902648113
2015-08-28,NIFTY 50,-0.03590382990108776
2015-09-04,NIFTY 50,-0.043351980724425476
2015-09-11,NIFTY 50,0.017537443050702706
2015-09-18,NIFTY 50,0.02472624016093783
2015-09-25,NIFTY 50,-0.01420713160164433
2015-10-02,NIFTY 50,0.010472123320041993
2015-10-09,NIFTY 50,0.030034372951715405
2015-10-16,NIFTY 50,0.0059159913253272745
2015-10-23,NIFTY 50,0.006955421055763633
2015-10-30,NIFTY 50,-0.027683897222934073
2015-11-06,NIFTY 50,-0.013823799585901075
2015-11-13,NIFTY 50,-0.02414414963015654
2015-11-20,NIFTY 50,0.01214851424361485
2015-11-27,NIFTY 50,0.010965422834028127
2015-12-04,NIFTY 50,-0.02024504123467341
2015-12-11,NIFTY 50,-0.02203185715349698
2015-12-18,NIFTY 50,0.019906838112325298
2015-12-25,NIFTY 50,0.01276735960440023
2016-01-01,NIFTY 50,0.01085100528403804
2016-01-08,NIFTY 50,-0.04341615908689411
2016-01-15,NIFTY 50,-0.02151595320141586
2016-01-22,NIFTY 50,-0.002063729836520478
2016-01-29,NIFTY 50,0.01900984252667781
2016-02-05,NIFTY 50,-0.00984322295135942
2016-02-12,NIFTY 50,-0.0678519309019221
2016-02-19,NIFTY 50,0.03291812693948226
2016-02-26,NIFTY 50,-0.025101411087612213
2016-03-04,NIFTY 50,0.06481028452736592
2016-03-11,NIFTY 50,0.0033198310475859305
2016-03-18,NIFTY 50,0.012536270657939719
2016-03-25,NIFTY 50,0.014748124547594887
2016-04-01,NIFTY 50,-0.00044711920073869926
2016-04-08,NIFTY 50,-0.020465265150896528
2016-04-15,NIFTY 50,0.03907904388598249
2016-04-22,NIFTY 50,0.006222523315181139
2016-04-29,NIFTY 50,-0.006266378188434674
2016-05-06,NIFTY 50,-0.014821984288761358
2016-05-13,NIFTY 50,0.010532130546417662
2016-05-20,NIFTY 50,-0.008342999634799675
2016-05-27,NIFTY 50,0.05251167100340193
2016-06-03,NIFTY 50,0.007864736517049442
2016-06-10,NIFTY 50,-0.006173365269284692
2016-06-17,NIFTY 50,1.8407553025401313e-05
2016-06-24,NIFTY 50,-0.009987527319473388
2016-07-01,NIFTY 50,0.02964042094109942
2016-07-08,NIFTY 50,-0.0006182994595596014
2016-07-15,NIFTY 50,0.026215901359117444
2016-07-22,NIFTY 50,-2.343823065831252e-05
2016-07-29,NIFTY 50,0.01139181876815143
2016-08-05,NIFTY 50,0.005168766640620381
2016-08-12,NIFTY 50,-0.010480067245898561
2016-08-19,NIFTY 50,0.008699801167535437
2016-08-26,NIFTY 50,-0.010886312486013905
2016-09-02,NIFTY 50,0.027658117052624442
2016-09-09,NIFTY 50,0.006475830726291987
2016-09-16,NIFTY 50,-0.009795141825525433
2016-09-23,NIFTY 50,0.005888505795964338
2016-09-30,NIFTY 50,-0.02495591588528656
2016-10-07,NIFTY 50,0.010039218319089827
2016-10-14,NIFTY 50,-0.01312996963287505
2016-10-21,NIFTY 50,0.012774589215512
2016-10-28,NIFTY 50,-0.006332622718647651
2016-11-04,NIFTY 50,-0.02364551979624918
2016-11-11,NIFTY 50,-0.01629763691270192
2016-11-18,NIFTY 50,-0.026782989074925267
2016-11-25,NIFTY 50,0.004978846750106403
2016-12-02,NIFTY 50,-0.003389078621930386
2016-12-09,NIFTY 50,0.02163404554804127
2016-12-16,NIFTY 50,-0.01480313549641421
2016-12-23,NIFTY 50,-0.01888336332606544
2016-12-30,NIFTY 50,0.02505084740788277
2017-01-06,NIFTY 50,0.007085440810168153
2017-01-13,NIFTY 50,0.01899000562804609
2017-01-20,NIFTY 50,-0.00607117588809436
2017-01-27,NIFTY 50,0.03496085375287694
2017-02-03,NIFTY 50,0.011537705229278217
2017-02-10,NIFTY 50,0.006017607719948748
2017-02-17,NIFTY 50,0.0032012544706341295
2017-02-24,NIFTY 50,0.013353412843262857
2017-03-03,NIFTY 50,-0.0046926780370826204
2017-03-10,NIFTY 50,0.004158448203404053
2017-03-17,NIFTY 50,0.025239100450443752
2017-03-24,NIFTY 50,-0.005682262192599041
2017-03-31,NIFTY 50,0.007218928414580494
2017-04-07,NIFTY 50,0.002676092621610504
2017-04-14,NIFTY 50,-0.005163997804876308
2017-04-21,NIFTY 50,-0.0034313300184335427
2017-04-28,NIFTY 50,0.02024797751531171
2017-05-05,NIFTY 50,-0.0020152514650720876
2017-05-12,NIFTY 50,0.012449849586885886
2017-05-19,NIFTY 50,0.002872065321203321
2017-05-26,NIFTY 50,0.01773451265100978
2017-06-02,NIFTY 50,0.006086480912396164
2017-06-09,NIFTY 50,0.0015279432330241871
2017-06-16,NIFTY 50,-0.00829521323016058
2017-06-23,NIFTY 50,-0.0013662433593738532
2017-06-30,NIFTY 50,-0.0056449175802461005
2017-07-07,NIFTY 50,0.015219087283507182
2017-07-14,NIFTY 50,0.02281754320843099
2017-07-21,NIFTY 50,0.00292326204988691
2017-07-28,NIFTY 50,0.010009833337535579
2017-08-04,NIFTY 50,0.0051825244021168615
2017-08-11,NIFTY 50,-0.035325495920932815
2017-08-18,NIFTY 50,0.013037091535589962
2017-08-25,NIFTY 50,0.001997419367135489
2017-09-01,NIFTY 50,0.01190524429344908
2017-09-08,NIFTY 50,-0.003970222207514418
2017-09-15,NIFTY 50,0.015158894884468976
2017-09-22,NIFTY 50,-0.011997540535175655
2017-09-29,NIFTY 50,-0.017642886110377676
2017-10-06,NIFTY 50,0.01952277072958153
2017-10-13,NIFTY 50,0.018813190409085356
2017-10-20,NIFTY 50,-0.002055617703899393
2017-10-27,NIFTY 50,0.017395075508175317
2017-11-03,NIFTY 50,0.012539917733780381
2017-11-10,NIFTY 50,-0.012508969146137305
2017-11-17,NIFTY 50,-0.0036961165136726315
2017-11-24,NIFTY 50,0.010317455946142973
2017-12-01,NIFTY 50,-0.02578518971566357
2017-12-08,NIFTY 50,0.014211957232238559
2017-12-15,NIFTY 50,0.0065850293749274424
2017-12-22,NIFTY 50,0.015459802095178166
2017-12-29,NIFTY 50,0.0035928900517010476
2018-01-05,NIFTY 50,0.002673080948124351
2018-01-12,NIFTY 50,0.0115922089198357
2018-01-19,NIFTY 50,0.019983634435342346
2018-01-26,NIFTY 50,0.016058284503117637
2018-02-02,NIFTY 50,-0.027918748139664662
2018-02-09,NIFTY 50,-0.028404496511161725
2018-02-16,NIFTY 50,-0.0002535058106912791
2018-02-23,NIFTY 50,0.0037073180758384616
2018-03-02,NIFTY 50,-0.0031169612118217005
2018-03-09,NIFTY 50,-0.02213542371852628
2018-03-16,NIFTY 50,-0.0030996074021604203
2018-03-23,NIFTY 50,-0.019332778662955796
2018-03-30,NIFTY 50,0.011567294910931336
2018-04-06,NIFTY 50,0.02154497462397509
2018-04-13,NIFTY 50,0.014421774520258834
2018-04-20,NIFTY 50,0.007962349333319851
2018-04-27,NIFTY 50,0.012140230533852048
2018-05-04,NIFTY 50,-0.006925526410607841
2018-05-11,NIFTY 50,0.017728910131142195
2018-05-18,NIFTY 50,-0.019441966351270046
2018-05-25,NIFTY 50,0.0008257521117964739
2018-06-01,NIFTY 50,0.008585432675050741
2018-06-08,NIFTY 50,0.006679960547467445
2018-06-15,NIFTY 50,0.00464816397930945
2018-06-22,NIFTY 50,0.00038357635981611793
2018-06-29,NIFTY 50,-0.009938209138882215
