Date,Adj Close,Close,High,Low,Open,Volume
2023-07-27,26097.69921875,26097.69921875,26407.75,26029.75,26388.849609375,838100
2023-07-28,26433.69921875,26433.69921875,26527.650390625,26032.80078125,26170.55078125,1723300
2023-07-31,26853.650390625,26853.650390625,26883.599609375,26525.099609375,26601.0,1485900
2023-08-01,26783.44921875,26783.44921875,26892.25,26701.400390625,26858.849609375,1713500
2023-08-02,26352.349609375,26352.349609375,26807.349609375,26185.150390625,26802.94921875,1251200
2023-08-03,26221.849609375,26221.849609375,26420.400390625,26091.650390625,26313.400390625,930000
2023-08-04,26252.05078125,26252.05078125,26392.30078125,26174.25,26376.099609375,693200
2023-08-07,26266.30078125,26266.30078125,26386.400390625,26176.94921875,26385.69921875,636500
2023-08-08,26174.650390625,26174.650390625,26434.099609375,26102.099609375,26365.19921875,874800
2023-08-09,26328.150390625,26328.150390625,26352.650390625,26058.94921875,26258.94921875,1039300
2023-08-10,26418.94921875,26418.94921875,26506.55078125,26325.25,26375.19921875,908600
2023-08-11,26367.75,26367.75,26458.650390625,26283.19921875,26408.900390625,760600
2023-08-14,26375.599609375,26375.599609375,26406.400390625,26083.69921875,26356.44921875,693000
2023-08-16,26541.75,26541.75,26571.25,26212.55078125,26254.599609375,0
2023-08-17,26266.94921875,26266.94921875,26571.75,26219.19921875,26565.650390625,619200
2023-08-18,26302.19921875,26302.19921875,26439.400390625,26114.05078125,26222.75,764100
2023-08-21,26462.349609375,26462.349609375,26483.400390625,26282.599609375,26324.94921875,1441300
2023-08-22,26522.099609375,26522.099609375,26648.25,26454.150390625,26489.30078125,910800
2023-08-23,26370.19921875,26370.19921875,26592.650390625,26344.44921875,26591.75,765900
2023-08-24,26171.30078125,26171.30078125,26568.5,26132.44921875,26468.599609375,1196100
2023-08-25,25981.599609375,25981.599609375,26265.44921875,25927.5,26071.900390625,3440800
2023-08-28,26015.80078125,26015.80078125,26199.599609375,25977.69921875,26087.05078125,1367100
2023-08-29,26056.650390625,26056.650390625,26111.80078125,25965.0,26088.150390625,1465000
2023-08-30,25959.05078125,25959.05078125,26129.349609375,25937.69921875,26121.0,736400
2023-08-31,25722.94921875,25722.94921875,26014.150390625,25648.349609375,25972.69921875,2356600
2023-09-01,26332.900390625,26332.900390625,26356.75,25678.05078125,25728.19921875,1391700
2023-09-04,26633.05078125,26633.05078125,26708.900390625,26332.900390625,26511.25,1110329400
2023-09-05,26743.0,26743.0,26793.099609375,26590.400390625,26737.80078125,974300
2023-09-06,26819.900390625,26819.900390625,26860.0,26571.05078125,26803.25,890700
2023-09-07,27062.849609375,27062.849609375,27128.900390625,26723.0,26856.44921875,1711000
2023-09-08,27438.05078125,27438.05078125,27527.69921875,27062.849609375,27175.349609375,1982700
2023-09-11,27716.599609375,27716.599609375,27734.900390625,27467.19921875,27660.19921875,1273200
2023-09-12,27025.099609375,27025.099609375,27938.599609375,26992.05078125,27927.849609375,1601800
2023-09-13,27275.349609375,27275.349609375,27358.44921875,26975.650390625,27116.0,844700
2023-09-14,27420.55078125,27420.55078125,27471.900390625,27311.099609375,27401.19921875,873000
2023-09-15,27338.150390625,27338.150390625,27553.19921875,27287.44921875,27522.650390625,1381000
2023-09-18,27536.19921875,27536.19921875,27592.05078125,27228.400390625,27364.05078125,966800
2023-09-20,27440.30078125,27440.30078125,27577.25,27313.900390625,27431.349609375,1608100
2023-09-21,27226.599609375,27226.599609375,27484.44921875,27149.400390625,27411.30078125,925500
2023-09-22,27102.400390625,27102.400390625,27317.25,27032.400390625,27248.94921875,816900
2023-09-25,27105.5,27105.5,27202.400390625,26958.0,27163.25,655700
2023-09-26,27134.400390625,27134.400390625,27274.19921875,27101.599609375,27117.5,728600
2023-09-27,27231.44921875,27231.44921875,27255.599609375,27009.900390625,27172.55078125,727500
2023-09-28,27062.75,27062.75,27374.150390625,26995.349609375,27334.650390625,1556700
2023-09-29,27321.75,27321.75,27478.349609375,27150.25,27180.80078125,971400
2023-10-03,26973.05078125,26973.05078125,27252.400390625,26950.19921875,27238.0,875100
2023-10-04,26738.44921875,26738.44921875,26911.099609375,26562.19921875,26909.55078125,879600
2023-10-05,26688.25,26688.25,26859.150390625,26615.55078125,26843.44921875,825700
2023-10-06,26731.650390625,26731.650390625,26805.44921875,26664.30078125,26768.80078125,487100
